timeslot;time of day;heatGenerationCoefficientSpaceHeating;heatGenerationCoefficientDHW;chargingPowerEV;temperatureBufferStorage;usableVolumeDHWTank;simulationResult_SOCofEV;simulationResult_energyLevelOfEV;simulationResult_PVGeneration;simulationResult_RESGeneration;simulationResult_electricalLoad;simulationResult_SurplusPower;simulationResult_costs;Space Heating [W];DHW [W];Electricity [W];Availability of the EV;Energy Consumption of the EV;thermalDiscomfort;Outside Temperature [C];Price [Cent/kWh];COP (Space Heating);COP (DHW);numberOfStarts_HP;HP_isRunning
11;05:00;0.41;0.0;0.0;21.93;137.92;43.49;26.09;0.0;0.0;2003.96;-2003.96;-2.3;4629.8;0.0;759.5;1.0;0.0;0.0;-3.8;-2.3;3.76;1.06;0.0;0.0
12;05:30;0.5;0.0;0.0;21.93;137.49;43.49;26.09;0.0;0.0;2517.44;-2517.44;-2.9;5515.1;0.0;1023.0;1.0;0.0;0.0;-4.0;-2.3;3.72;1.02;0.0;0.0
13;06:00;0.54;0.0;0.0;21.93;137.06;43.49;26.09;0.0;0.0;2669.15;-2669.15;-35.5;5913.6;0.0;1046.2;0.5;0.0;0.0;-4.27;-26.6;3.67;1.0;0.0;0.0
14;06:30;0.54;0.0;0.0;21.93;136.63;42.48;25.49;0.0;0.0;2430.07;-2430.07;-32.32;5791.8;0.0;812.6;0.0;2170334.9282296654;0.0;-4.62;-26.6;3.61;1.0;0.0;0.0
15;07:00;0.54;0.0;0.0;21.93;121.63;41.48;24.89;0.0;0.0;2235.54;-2235.54;-20.68;5705.7;1522.1;621.5;0.0;2170334.9282296654;0.0;-4.87;-18.5;3.56;1.0;0.0;0.0
16;07:30;0.54;0.0;0.0;21.93;121.2;40.47;24.28;0.0;0.0;2088.75;-2088.75;-19.32;5657.9;0.0;475.9;0.0;2170334.9282296654;0.0;-5.02;-18.5;3.54;1.0;0.0;0.0
17;08:00;0.55;0.0;0.0;21.93;120.77;39.47;23.68;0.0;0.0;1990.44;-1990.44;-8.46;5671.3;0.0;347.1;0.0;2170334.9282296654;0.0;-5.34;-8.5;3.48;1.0;0.0;0.0
18;08:30;0.57;0.0;0.0;21.93;120.34;38.46;23.08;0.0;0.0;1946.49;-1946.49;-8.27;5750.2;0.0;236.2;0.0;2170334.9282296654;0.0;-5.84;-8.5;3.39;1.0;0.0;0.0
19;09:00;0.6;0.0;0.0;21.93;112.5;37.46;22.47;0.0;0.0;2097.62;-2097.62;-0.1;5987.5;775.0;299.6;0.0;2170334.9282296654;0.0;-6.03;-0.1;3.36;1.0;0.0;0.0
20;09:30;0.63;0.0;0.0;21.93;112.07;36.45;21.87;0.0;0.0;2453.07;-2453.07;-0.12;6394.0;0.0;549.2;0.0;2170334.9282296654;0.0;-5.88;-0.1;3.38;1.0;0.0;0.0
21;10:00;0.63;0.0;0.0;21.93;111.64;35.45;21.27;0.0;0.0;2499.7;-2499.7;5.0;6384.8;0.0;623.2;0.0;2170334.9282296654;0.0;-5.63;4.0;3.43;1.0;0.0;0.0
22;10:30;0.57;0.0;0.0;21.93;110.29;34.44;20.67;0.0;0.0;2222.1;-2222.1;4.44;5931.3;96.0;509.4;0.0;2170334.9282296654;0.0;-5.28;4.0;3.49;1.0;0.0;0.0
23;11:00;0.53;0.0;0.0;21.93;109.86;33.44;20.06;0.0;0.0;1963.33;-1963.33;8.15;5567.9;0.0;379.4;0.0;2170334.9282296654;0.0;-4.98;8.3;3.54;1.0;0.0;0.0
24;11:30;0.5;0.0;0.0;21.93;109.43;32.43;19.46;0.0;0.0;1721.72;-1721.72;7.15;5301.0;0.0;232.1;0.0;2170334.9282296654;0.0;-4.73;8.3;3.59;1.0;0.0;0.0
25;12:00;0.47;0.0;0.0;21.93;109.0;31.43;18.86;0.0;0.0;1836.05;-1836.05;6.52;5025.9;0.0;433.8;0.0;2170334.9282296654;0.0;-4.58;7.1;3.62;1.0;0.0;0.0
26;12:30;0.44;0.0;0.0;21.93;108.57;30.42;18.25;0.0;0.0;2329.25;-2329.25;8.27;4742.0;0.0;1008.8;0.0;2170334.9282296654;0.0;-4.53;7.1;3.63;1.0;0.0;0.0
27;13:00;0.44;0.0;0.0;21.93;108.13;29.42;17.65;0.0;0.0;2611.85;-2611.85;-2.22;4801.2;0.0;1280.0;0.0;2170334.9282296654;0.0;-4.45;-1.7;3.64;1.0;0.0;0.0
28;13:30;0.48;0.0;0.0;21.93;107.7;28.41;17.05;0.0;0.0;2668.17;-2668.17;-2.27;5227.2;0.0;1226.4;0.0;2170334.9282296654;0.0;-4.35;-1.7;3.66;1.0;0.0;0.0
29;14:00;0.5;0.0;0.0;21.93;107.27;27.41;16.45;0.0;0.0;2522.45;-2522.45;-2.14;5455.7;0.0;1025.5;0.0;2170334.9282296654;0.0;-4.25;-1.7;3.67;1.0;0.0;0.0
30;14:30;0.0;1.0;0.0;21.51;93.21;26.4;15.84;0.0;0.0;3667.29;-3667.29;-3.12;5473.2;4424.8;667.3;0.0;2170334.9282296654;0.0;-4.15;-1.7;3.69;1.0;0.0;0.0
31;15:00;1.0;0.0;0.0;21.93;92.78;25.4;15.24;0.0;0.0;3488.37;-3488.37;-5.93;5499.7;0.0;488.4;0.0;2170334.9282296654;0.0;-4.08;-3.4;3.71;1.01;0.0;0.0
32;15:30;0.5;0.0;0.0;21.93;91.13;24.39;14.64;0.0;0.0;2003.21;-2003.21;-3.41;5535.7;127.4;501.1;0.0;2170334.9282296654;0.0;-4.03;-3.4;3.72;1.02;0.0;0.0
33;16:00;0.51;0.0;2350.0;21.93;90.7;26.14;15.68;0.0;0.0;4400.42;-4400.42;-2.2;5616.2;0.0;532.2;1.0;0.0;0.0;-3.95;-1.0;3.73;1.03;0.0;0.0
34;16:30;0.52;0.0;2350.0;21.93;90.27;27.88;16.73;0.0;0.0;4477.79;-4477.79;-2.24;5744.0;0.0;582.7;1.0;0.0;0.0;-3.85;-1.0;3.75;1.05;0.0;0.0
35;17:00;0.48;0.0;4700.0;21.93;89.84;31.37;18.82;0.0;0.0;6919.54;-6919.54;41.17;5415.2;0.0;765.8;1.0;0.0;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
36;17:30;0.0;1.0;4700.0;21.58;119.72;34.85;20.91;0.0;0.0;8790.62;-8790.62;52.3;4598.4;0.0;1090.6;1.0;0.0;0.0;-3.8;11.9;3.76;1.06;0.0;0.0
37;18:00;0.9;0.0;4239.34;22.0;119.29;38.0;22.8;0.0;0.0;8323.47;-8323.47;40.79;4579.4;0.0;1378.2;1.0;0.0;0.0;-3.87;9.8;3.74;1.04;0.0;0.0
38;18:30;0.2;0.0;0.0;21.75;118.86;38.0;22.8;0.0;0.0;2225.86;-2225.86;10.91;5413.4;0.0;1625.9;1.0;0.0;0.0;-4.02;9.8;3.72;1.02;0.0;0.0
39;19:00;0.52;0.0;0.0;21.75;118.43;38.0;22.8;0.0;0.0;3005.19;-3005.19;19.98;5795.7;0.0;1442.2;1.0;0.0;0.0;-3.91;13.3;3.74;1.04;0.0;0.0
40;19:30;0.5;0.0;0.0;21.75;118.0;38.0;22.8;0.0;0.0;2304.45;-2304.45;15.32;5695.4;0.0;797.3;1.0;0.0;0.0;-3.51;13.3;3.81;1.11;0.0;0.0
41;20:00;0.47;0.0;0.0;21.75;115.95;38.0;22.8;0.0;0.0;1965.99;-1965.99;7.86;5493.2;169.3;545.3;1.0;0.0;0.0;-3.01;8.0;3.9;1.2;0.0;0.0
42;20:30;0.43;0.0;2350.0;21.75;115.52;39.74;23.84;0.0;0.0;4367.92;-4367.92;17.47;5182.1;0.0;713.2;1.0;0.0;0.0;-2.41;8.0;4.01;1.31;0.0;0.0
43;21:00;0.4;0.0;2350.0;21.75;115.08;41.48;24.89;0.0;0.0;4354.92;-4354.92;16.77;4927.3;0.0;793.8;1.0;0.0;0.0;-1.86;7.7;4.11;1.41;0.0;0.0
44;21:30;0.0;1.0;0.0;21.39;79.93;41.48;24.89;0.0;0.0;3781.11;-3781.11;14.56;4732.8;8116.5;781.1;1.0;0.0;0.11;-1.36;7.7;4.2;1.5;0.0;0.0
45;22:00;0.73;0.0;0.0;21.8;79.49;41.48;24.89;0.0;0.0;2816.96;-2816.96;12.11;3910.1;0.0;630.6;1.0;0.0;0.0;-0.98;8.6;4.26;1.56;0.0;0.0
46;22:30;0.0;0.73;0.0;21.61;112.71;41.48;24.89;0.0;0.0;2519.04;-2519.04;10.83;2415.9;0.0;332.7;1.0;0.0;0.0;-0.73;8.6;4.31;1.61;0.0;0.0
47;23:00;0.0;0.0;0.0;21.46;112.28;41.48;24.89;0.0;0.0;157.48;-157.48;-0.28;1826.7;0.0;157.5;1.0;0.0;0.04;-0.48;-3.6;4.35;1.65;0.0;0.0
48;23:30;0.0;0.0;0.0;21.29;111.85;41.48;24.89;0.0;0.0;113.51;-113.51;-0.2;2204.9;0.0;113.5;1.0;0.0;1.72;-0.23;-3.6;4.4;1.7;0.0;0.0
